                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7016,                  4.752,                 4.3066,                      0,                      0,                      0,                      0,                 5.8388,                  4.622,                 4.1634,              8.181e-05,              8.181e-05,              8.181e-05
                      2,                 5.6659,                 4.6608,                 4.2285,                      0,                      0,                      0,                      0,                 5.8422,                  4.625,                  4.168,             0.00017237,             0.00017237,             0.00017237
                      3,                 5.3369,                 4.3491,                 4.1562,                      0,                      0,                      0,                      0,                 5.8498,                  4.638,                 4.1747,             0.00026257,             0.00026257,             0.00026257
                      4,                 4.8886,                 3.9793,                 4.0145,                      0,                      0,                      0,                      0,                 5.8535,                 4.6614,                  4.184,              0.0003524,              0.0003524,              0.0003524
                      5,                 4.0798,                 3.3914,                 3.6202,                      0,                      0,                      0,                      0,                 5.8575,                 4.6866,                 4.1956,             0.00044188,             0.00044188,             0.00044188
                      6,                 3.4213,                 3.0408,                 3.3565,                      0,                      0,                      0,                      0,                 5.8509,                  4.712,                 4.1968,               0.000531,               0.000531,               0.000531
                      7,                 3.0811,                 2.8783,                 2.9985,                      0,                      0,                      0,                      0,                 5.8508,                 4.7409,                 4.2037,             0.00061976,             0.00061976,             0.00061976
                      8,                 2.7482,                 2.6163,                 2.7723,                0.00044,                0.00107,                0.00093,                0.00041,                 5.7349,                  4.667,                 4.1329,             0.00070816,             0.00070816,             0.00070816
                      9,                 2.5471,                 2.4762,                 2.6109,                 0.0214,                0.12546,                0.04478,                0.01628,                 4.3336,                 3.7955,                  3.509,              0.0007962,              0.0007962,              0.0007962
                     10,                 2.4345,                 2.3173,                 2.4617,                0.42706,                0.12631,                0.09355,                0.03862,                 2.9216,                 2.8754,                 2.7795,             0.00088387,             0.00088387,             0.00088387
                     11,                 2.2715,                 2.2356,                 2.3026,                0.43667,                0.21478,                0.11267,                0.05311,                 2.6207,                 2.7345,                 2.5912,               0.000891,               0.000891,               0.000891
                     12,                 2.1046,                 2.1044,                 2.2361,                0.13985,                0.38314,                0.12487,                0.05524,                 2.4594,                 2.8923,                  2.427,              0.0008892,              0.0008892,              0.0008892
                     13,                 2.0278,                 2.0969,                 2.1275,                0.19072,                0.43378,                0.15566,                0.06904,                 2.4222,                 2.3062,                 2.3582,              0.0008874,              0.0008874,              0.0008874
                     14,                 1.9269,                 2.0466,                 2.1025,                0.18793,                0.51598,                0.19807,                0.08876,                 2.2179,                 2.0576,                 2.2038,              0.0008856,              0.0008856,              0.0008856
                     15,                 1.8496,                 2.0113,                 1.9901,                0.19449,                0.51669,                0.19968,                0.09315,                 2.1374,                   2.26,                 2.1588,              0.0008838,              0.0008838,              0.0008838
                     16,                 1.8047,                 1.9312,                  1.905,                0.21722,                0.48067,                 0.2359,                0.11189,                 2.0535,                 2.1922,                 2.1811,               0.000882,               0.000882,               0.000882
                     17,                 1.7678,                 1.9496,                 1.8731,                0.23501,                0.54357,                0.26544,                0.13402,                 1.8192,                 2.0237,                 1.9959,              0.0008802,              0.0008802,              0.0008802
                     18,                 1.7227,                 1.9186,                 1.8241,                0.22962,                  0.644,                0.25941,                0.15197,                 1.5166,                 1.7854,                 1.8452,              0.0008784,              0.0008784,              0.0008784
                     19,                 1.6547,                 1.9038,                 1.7934,                0.22207,                0.68286,                0.26508,                0.15174,                  1.607,                 1.7154,                 1.7783,              0.0008766,              0.0008766,              0.0008766
                     20,                 1.6211,                 1.8813,                 1.6904,                0.23073,                0.70793,                0.27498,                0.16425,                 1.5102,                 1.7674,                 1.7117,              0.0008748,              0.0008748,              0.0008748
                     21,                 1.5754,                  1.833,                 1.6732,                0.26326,                0.54808,                0.29302,                0.17204,                 1.4676,                  1.736,                 1.7145,               0.000873,               0.000873,               0.000873
                     22,                 1.5916,                 1.8008,                 1.6014,                0.25047,                0.60248,                0.29373,                0.17073,                 1.5417,                 1.7425,                 1.6628,              0.0008712,              0.0008712,              0.0008712
                     23,                 1.5639,                 1.8736,                   1.66,                0.24403,                0.57572,                 0.3059,                 0.1785,                 1.4305,                 1.6503,                 1.5992,              0.0008694,              0.0008694,              0.0008694
                     24,                 1.5318,                 1.8463,                 1.6151,                 0.2543,                 0.5852,                0.30456,                0.18771,                 1.3916,                 1.7558,                 1.5471,              0.0008676,              0.0008676,              0.0008676
                     25,                 1.4423,                 1.7895,                 1.5463,                0.26385,                0.61063,                0.31603,                0.20304,                 1.3111,                 1.7341,                 1.5154,              0.0008658,              0.0008658,              0.0008658
                     26,                 1.4104,                 1.7665,                 1.5078,                0.27223,                0.68116,                0.31693,                0.20862,                 1.2249,                 1.7329,                 1.4876,               0.000864,               0.000864,               0.000864
                     27,                 1.3922,                  1.785,                 1.5326,                0.23938,                0.77693,                0.29398,                0.18891,                 1.3099,                 1.8731,                 1.5043,              0.0008622,              0.0008622,              0.0008622
                     28,                 1.3854,                 1.7414,                 1.4897,                0.26082,                0.68673,                0.30589,                0.20078,                 1.2282,                  1.785,                 1.4737,              0.0008604,              0.0008604,              0.0008604
                     29,                  1.391,                 1.7408,                   1.49,                0.26505,                0.63227,                0.32414,                0.21436,                 1.2408,                 1.6593,                 1.4567,             0.00085861,             0.00085861,             0.00085861
                     30,                 1.3299,                 1.7017,                 1.4352,                0.25549,                0.71008,                0.34582,                0.23254,                 1.1591,                 1.6375,                 1.4125,             0.00085681,             0.00085681,             0.00085681
                     31,                 1.3172,                 1.7038,                 1.4653,                 0.2701,                0.68379,                0.34113,                0.23279,                 1.1407,                 1.6014,                 1.4089,             0.00085501,             0.00085501,             0.00085501
                     32,                 1.2147,                 1.6553,                 1.3954,                0.27899,                0.67651,                0.36079,                 0.2473,                 1.1501,                 1.6453,                 1.3746,             0.00085321,             0.00085321,             0.00085321
                     33,                  1.232,                 1.6882,                 1.3786,                0.24934,                0.64949,                0.29817,                0.20321,                 1.1272,                 1.9036,                 1.3711,             0.00085141,             0.00085141,             0.00085141
                     34,                 1.2572,                  1.638,                 1.3759,                0.29765,                0.64174,                0.36839,                0.24927,                 1.1046,                 1.6129,                 1.3585,             0.00084961,             0.00084961,             0.00084961
                     35,                 1.2224,                 1.6372,                 1.3815,                0.28594,                0.70546,                0.37099,                0.25372,                 1.0617,                 1.5889,                 1.3251,             0.00084781,             0.00084781,             0.00084781
                     36,                 1.2483,                  1.592,                 1.3526,                0.30504,                0.68587,                0.37704,                0.25999,                  1.105,                 1.5729,                 1.3348,             0.00084601,             0.00084601,             0.00084601
                     37,                 1.1857,                 1.6335,                 1.3589,                0.31921,                0.68092,                 0.3967,                0.27374,                 1.0421,                 1.5034,                 1.3036,             0.00084421,             0.00084421,             0.00084421
                     38,                 1.2128,                 1.6223,                 1.3269,                 0.3245,                0.64997,                0.37896,                0.26433,                 1.0692,                 1.4494,                 1.2852,             0.00084241,             0.00084241,             0.00084241
                     39,                 1.1865,                 1.5961,                 1.3312,                0.33479,                0.64428,                0.39088,                0.27162,                 1.0552,                 1.4748,                 1.2644,             0.00084061,             0.00084061,             0.00084061
